Month,Dist_Name,Documents_Registered_Cnt,Documents_Registered_Rev,Estamps_Challans_Cnt,Estamps_Challans_Rev,Slot_Booking_Cnt
2019-01-01,Adilabad,945,12390300,0,0,877
2019-01-01,Bhadradri Kothagudem,557,9981040,0,0,38
2019-01-01,Hanumakonda,3913,120275730,0,0,859
2019-01-01,Hyderabad,5206,643949380,0,0,236
2019-01-01,Jagtial,2181,28766596,0,0,904
2019-01-01,Jangaon,1928,21234517,0,0,4
2019-01-01,Jogulamba Gadwal,1831,14755487,0,0,37
2019-01-01,Kamareddy,2271,19843106,0,0,1683
2019-01-01,Karimnagar,2542,52374162,0,0,866
2019-01-01,Khammam,3545,74917300,0,0,336
2019-01-01,Komaram Bheem Asifabad,314,3781265,0,0,194
2019-01-01,Mahabubabad,1060,14227193,0,0,156
2019-01-01,Mahabubnagar,3978,69809982,0,0,206
2019-01-01,Mancherial,1455,22890210,0,0,256
2019-01-01,Medak,2065,37288685,0,0,254
2019-01-01,Medchal-Malkajgiri,13902,988258217,0,0,965
2019-01-01,Mulugu,572,5369239,0,0,75
2019-01-01,Nagarkurnool,2433,18890209,0,0,188
2019-01-01,Nalgonda,6194,97685727,0,0,426
2019-01-01,Narayanpet,1152,8796944,0,0,3
2019-01-01,Nirmal,1495,15989191,0,0,385
2019-01-01,Nizamabad,4874,67524377,0,0,1801
2019-01-01,Peddapalli,1417,22788970,0,0,267
2019-01-01,Rajanna Sircilla,1773,20200345,0,0,146
2019-01-01,Ranga Reddy,24780,1478710536,0,0,1966
2019-01-01,Sangareddy,7257,288187545,0,0,327
2019-01-01,Siddipet,4381,46962905,0,0,419
2019-01-01,Suryapet,3075,44628858,0,0,405
2019-01-01,Vikarabad,2040,26122394,0,0,347
2019-01-01,Wanaparthy,1801,17557355,0,0,13
2019-01-01,Warangal,814,10754469,0,0,14
2019-01-01,Yadadri Bhuvanagiri,7860,121000730,0,0,346
2019-02-01,Adilabad,716,9758880,0,0,1089
2019-02-01,Bhadradri Kothagudem,646,16054971,0,0,31
2019-02-01,Hanumakonda,4872,136939874,0,0,775
2019-02-01,Hyderabad,5928,763316759,0,0,158
2019-02-01,Jagtial,2536,32399610,0,0,1065
2019-02-01,Jangaon,3123,35679052,0,0,42
2019-02-01,Jogulamba Gadwal,2102,15303720,0,0,55
2019-02-01,Kamareddy,3465,28637950,0,0,1641
2019-02-01,Karimnagar,3261,65365573,0,0,1227
2019-02-01,Khammam,5150,99047771,0,0,204
2019-02-01,Komaram Bheem Asifabad,567,5712585,0,0,146
2019-02-01,Mahabubabad,1175,17815909,0,0,75
2019-02-01,Mahabubnagar,4470,60386958,0,0,272
2019-02-01,Mancherial,1856,31190026,0,0,276
2019-02-01,Medak,2773,46143449,0,0,286
2019-02-01,Medchal-Malkajgiri,15650,1189013348,0,0,1088
2019-02-01,Mulugu,677,6121255,0,0,34
2019-02-01,Nagarkurnool,3468,25499212,0,0,309
2019-02-01,Nalgonda,8000,95262204,0,0,696
