Month,District_Name,Sector,Investment,Number_Of_Employees,social_status_General,social_status_OBC,social_status_SC_ST
2019-01-01,Adilabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.07,15,0,0,1
2019-01-01,Adilabad,Food Processing,0.0183,1,0,2,0
2019-01-01,Bhadradri Kothagudem,Agro based incl Cold Storages,0.08,4,1,0,0
2019-01-01,Bhadradri Kothagudem,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,8,0,1,0
2019-01-01,Jagtial,Agro based incl Cold Storages,0.411,11,0,4,0
2019-01-01,Jagtial,Beverages,0.17099999999999999,6,0,2,0
2019-01-01,Jagtial,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.111,6,0,0,2
2019-01-01,Jagtial,Engineering,0.016,4,0,2,0
2019-01-01,Jagtial,Food Processing,3.2441999999999998,25,1,2,0
2019-01-01,Jagtial,Textiles,0.2,2,0,1,0
2019-01-01,Jagtial,Wood and Leather,0.15,2,0,1,0
2019-01-01,Jangaon,Engineering,0.4916,8,1,0,0
2019-01-01,Jangaon,Food Processing,0.0675,5,0,2,0
2019-01-01,Jangaon,Plastic and Rubber,0.3475,25,0,1,0
2019-01-01,Jayashankar Bhupalpally,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.06,8,0,0,1
2019-01-01,Kamareddy,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.4851,15,1,0,0
2019-01-01,Kamareddy,Food Processing,0.04,5,0,1,0
2019-01-01,Kamareddy,Granite and Stone Crushing,2.0038,20,1,0,0
2019-01-01,Karimnagar,Agro based incl Cold Storages,0.9722,22,1,3,0
2019-01-01,Karimnagar,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,6,0,1,0
2019-01-01,Karimnagar,Engineering,0.1,4,0,1,0
2019-01-01,Karimnagar,Textiles,0.27,6,0,2,0
2019-01-01,Khammam,Agro based incl Cold Storages,0.47,4,0,1,0
2019-01-01,Mahabubabad,Agro based incl Cold Storages,0.7074,25,0,0,1
2019-01-01,Mahabubabad,Engineering,0.023,10,0,1,0
2019-01-01,Mahabubabad,Food Processing,0.0949,10,1,0,0
2019-01-01,Mahabubabad,Granite and Stone Crushing,1.29,70,2,1,0
2019-01-01,Mancherial,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.44999999999999996,28,0,3,0
2019-01-01,Mancherial,Engineering,1.0338,20,0,1,0
2019-01-01,Mancherial,Food Processing,0.2,5,0,1,0
2019-01-01,Medak,Engineering,9.1583,110,3,0,0
2019-01-01,Medchal-Malkajgiri,Agro based incl Cold Storages,0.2,9,1,0,0
2019-01-01,Medchal-Malkajgiri,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.0,10,1,0,0
2019-01-01,Medchal-Malkajgiri,Electrical and Electronic Products,0.45840000000000003,52,2,0,0
2019-01-01,Medchal-Malkajgiri,Engineering,3.3475,252,15,1,0
2019-01-01,Medchal-Malkajgiri,Food Processing,0.24,120,1,0,0
2019-01-01,Medchal-Malkajgiri,Paper and Printing,1.0,24,2,0,0
2019-01-01,Medchal-Malkajgiri,Pharmaceuticals and Chemicals,0.135,12,1,0,0
2019-01-01,Medchal-Malkajgiri,Plastic and Rubber,0.45999999999999996,15,2,0,0
2019-01-01,Medchal-Malkajgiri,Textiles,0.2,20,1,0,0
2019-01-01,Nalgonda,Agro based incl Cold Storages,0.7565,9,0,0,1
2019-01-01,Nalgonda,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,8,0,1,0
2019-01-01,Nalgonda,Engineering,0.18,8,0,0,1
2019-01-01,Nalgonda,Food Processing,2.0411,20,0,0,1
2019-01-01,Nalgonda,Pharmaceuticals and Chemicals,1.62,15,0,0,1
2019-01-01,Nalgonda,Plastic and Rubber,0.8685,15,0,1,0
2019-01-01,Nirmal,Beverages,0.055,4,1,0,0
2019-01-01,Nirmal,Engineering,0.05,8,0,2,1
2019-01-01,Nizamabad,Beverages,1.6325,22,0,2,0
2019-01-01,Nizamabad,Food Processing,6.1,15,1,0,0
2019-01-01,Peddapalli,Granite and Stone Crushing,10.25,20,1,0,0
2019-01-01,Rajanna Sircilla,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,8,0,1,0
2019-01-01,Rajanna Sircilla,Engineering,0.15,6,1,0,0
2019-01-01,Rajanna Sircilla,Food Processing,0.09,4,1,0,0
2019-01-01,Rajanna Sircilla,Textiles,0.2,10,0,1,0
2019-01-01,Ranga Reddy,Food Processing,0.4425,5,1,0,0
2019-01-01,Ranga Reddy,Granite and Stone Crushing,1.12,60,2,0,0
2019-01-01,Ranga Reddy,Plastic and Rubber,0.5,9,1,0,0
2019-01-01,Sangareddy,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,10,1,0,0
2019-01-01,Sangareddy,Engineering,0.1624,12,1,0,0
2019-01-01,Sangareddy,R&D,0.25,20,1,0,0
2019-01-01,Suryapet,Engineering,2.0656,10,1,0,0
2019-01-01,Vikarabad,Granite and Stone Crushing,0.2,10,1,0,0
2019-01-01,Wanaparthy,Food Processing,0.565,6,0,1,0
2019-01-01,Warangal,Beverages,0.1,2,0,1,0
2019-01-01,Warangal,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.28200000000000003,24,0,3,0
2019-01-01,Warangal,Food Processing,0.3,10,1,0,0
2019-02-01,Adilabad,Beverages,0.19,40,0,1,0
2019-02-01,Adilabad,Food Processing,0.08499999999999999,5,0,3,1
2019-02-01,Adilabad,Pharmaceuticals and Chemicals,0.118,2,0,1,0
2019-02-01,Adilabad,Plastic and Rubber,2.62,60,1,0,0
2019-02-01,Bhadradri Kothagudem,Agro based incl Cold Storages,0.23,9,0,0,2
2019-02-01,Bhadradri Kothagudem,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,8,0,1,0
2019-02-01,Bhadradri Kothagudem,Engineering,0.19,13,2,0,0
2019-02-01,Bhadradri Kothagudem,Pharmaceuticals and Chemicals,0.95,57,1,0,0
2019-02-01,Jagtial,Agro based incl Cold Storages,1.0325,22,2,3,0
2019-02-01,Jagtial,Beverages,0.15,4,0,0,1
2019-02-01,Jagtial,Engineering,0.026,2,0,1,0
2019-02-01,Jagtial,Food Processing,6.032,36,3,0,0
2019-02-01,Jagtial,Wood and Leather,0.028,4,0,1,0
2019-02-01,Jangaon,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.5205,11,1,0,1
2019-02-01,Karimnagar,Agro based incl Cold Storages,0.723,15,2,1,0
2019-02-01,Karimnagar,Beverages,0.16,3,0,1,0
2019-02-01,Karimnagar,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,10,1,0,0
2019-02-01,Karimnagar,Food Processing,1.2617,19,2,2,0
2019-02-01,Karimnagar,Granite and Stone Crushing,1.9105,47,1,2,0
2019-02-01,Karimnagar,Plastic and Rubber,0.1,4,0,1,0
2019-02-01,Karimnagar,Textiles,0.15,3,0,1,0
2019-02-01,Khammam,Agro based incl Cold Storages,0.32,8,1,1,1
2019-02-01,Khammam,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.406,15,2,0,0
2019-02-01,Khammam,Engineering,0.19,5,0,1,0
2019-02-01,Khammam,Food Processing,23.81,60,1,0,0
2019-02-01,Komaram Bheem Asifabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.20450000000000002,18,1,0,1
2019-02-01,Komaram Bheem Asifabad,Engineering,0.06,3,1,0,0
2019-02-01,Mahabubabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,20,0,1,0
2019-02-01,Mahabubabad,Wood and Leather,0.02,5,0,1,0
2019-02-01,Mancherial,Beverages,0.12,2,1,0,0
2019-02-01,Mancherial,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,15,0,2,0
2019-02-01,Mancherial,Food Processing,0.08,3,0,1,0
2019-02-01,Medak,Beverages,10.0005,0,1,0,0
